city,euclid,network,cognitive,f_segment,f_isections,f_turns,f_config,f_locations
Beijing,1110.6430727866364,1393.030580000002,3171.3365671857155,113.91916916000007,21.270001833159988,927.9254647429804,256.8008939870379,458.39045746253305
Berlin,981.3546871441589,1233.1378090000012,5286.7300446848585,154.81494624000015,257.2655081497999,1221.9381504109383,1637.742037940951,781.8315929431676
Cape Town,965.3400981354677,1227.9351909999996,4415.091115638825,141.20669549999994,82.87416044923995,1110.4510061188503,1209.2621724639719,643.3618901067631
Chicago,1048.3072431703865,1414.6404210000019,3510.7871235207303,177.17179839999991,224.0898264146601,954.6069305406272,218.72252563244942,521.5556215329958
La Paz,1001.25443168165,1313.9058230000005,3960.2323393089605,184.93042190000017,33.52527439600005,1295.1132066631005,570.1921806361016,562.5654327137546
Lima,990.5500791399263,1281.4331200000006,3382.7475364494862,174.9475771000002,74.11289616770004,908.9016772193597,458.0906799082706,485.2615860541533
London - Bank,932.6140989058255,1167.7813009999986,6731.995768550752,215.42566733999993,69.54640583450802,1802.3935189736992,2498.9162777455253,977.9325976570095
London - Seven Dials,961.685322476026,1179.95123,5879.430747841448,258.13965264,284.15555075797613,1705.4647072896419,1607.071527022208,844.6480801316308
Madrid,1084.9083497774768,1296.2469179999985,5765.0010519134,275.1903229000002,71.34200584926003,1714.3257355684261,1532.5709712506216,875.3250983450868
Mexico City,1039.2948533276983,1315.683164,3201.418539495388,127.93223979999992,329.3351806573079,786.2452352354687,159.74151907968414,482.4812007229244
New York City - Midtown,1037.8851664145604,1300.9035489999999,2817.178418513429,177.71779414,50.364888889368046,584.4411737230001,289.7846495955455,413.96636316551314
New York City - Soho,1018.5701001265702,1221.2224339999982,3644.169733855241,201.2287940600003,54.3579662999401,864.9384330824939,762.1597499709428,540.2623564418666
New York City - Tribeca,1005.7531117683062,1213.0008610000007,4019.652379420954,148.47059013999984,194.48491103121995,1005.2586827534483,861.2279621233901,597.209372372895
Paris,1035.1012456576443,1334.0768970000013,4631.3374614022405,159.80070439999974,124.66677038276023,1260.7652667359503,1063.6610934107698,688.3667294727586
Rome,949.1522187341836,1157.6760929999998,5680.936338807693,151.8408584999999,198.45038978699594,1154.8415376377798,2185.3020713377905,832.8253885451335
San Francisco,1006.9739296579995,1216.2937569999988,4853.776523948099,229.46456289999983,290.27674427509993,1145.1256124495346,1254.5794999761931,718.0363473472777
Singapore,991.2401326962672,1275.9180299999991,4982.9535772595955,191.7510542400004,452.9952633686964,1207.7725916602326,1115.1911402322576,739.3254977584072
Sydney,1028.8894863125865,1344.0706979999984,4869.420098216747,291.61517470000007,243.2690883233182,1350.8933492037631,909.5191561495258,730.0526318401394
Tokyo,953.6988645260459,1201.7851459999983,5904.981212784032,182.84238192000007,117.32326251300307,1249.9997923730295,2308.8065550479887,844.2240749300122
